Reference,Value,Footprint,Datasheet,Manufacturer,Man. Part Num.,Supplier,Supplier Part Num.,Comp. Value,Quantity
J2,CONN_RJ45_RA,ovrEngineered:RJ45_NOMAG_RA,http://productfinder.pulseeng.com/products/datasheets/E6588-52L184-L.pdf,Pulse Electronics,E6588-52L184-L,Digi-Key,553-2265-ND,,1
U2,TOREX_XC6210,ovrEngineered:SOT-25-5,https://www.torexsemi.com/file/xc6210/XC6210.pdf,Torex Semiconductor,XC6210B332MR-G,Digi-Key,893-1075-1-ND,,1
U1,SILICONLABS_SI7050,ovrEngineered:SILICONLABS_SI7050,http://www.silabs.com/Support%20Documents/TechnicalDocs/Si7050-1-3-4-5-A20.pdf,Silicon Labs,SI7050-A20-IM,Digi-Key,336-3118-5-ND,,1
U5,INTERSIL_ISL32602EFBZ,ovrEngineered:SOIC-14,http://www.intersil.com/content/dam/Intersil/documents/fn79/fn7967.pdf,Intersil,ISL32602EFBZ,Digi-Key,ISL32602EFBZ-ND,,1
U3,FTDI_RT232RL,ovrEngineered:FT232RL,http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf,FTDI,FT232RL,Digi-Key,768-1007-1-ND,,1
R8 R9 R10 R11 R1,R_12K_1%_0603,ovrEngineered:R_0603,http://www.vishay.com/docs/20035/dcrcwe3.pdf,Vishay_Dale,CRCW060312K0FKEA,Digi-Key,541-12.0KHCT-ND,12K,5
C1 C2 C3,C_10uF_10v_0805,ovrEngineered:C_0805,http://psearch.murata.com/capacitor/product/GRM21BR71A106KE51%23.pdf,Murata,GRM21BR71A106KE51L,Digi-Key,490-3905-1-ND,10uF,3
Q3,FET_NP_5A/3A_60V,ovrEngineered:SO-8,http://diodes.com/datasheets/DMC6040SSD.pdf,International Rectifier,DMC6040SSD-13,Digi-Key,DMC6040SSD-13DICT-ND,,1
R15 R14 R18 R12 R13,R_10K_1%_0603,ovrEngineered:R_0603,http://www.vishay.com/docs/20035/dcrcwe3.pdf,Vishay_Dale,CRCW060310K0FKEA,Digi-Key,541-10.0KHCT-ND,10K,5
R17 R16 R19 R20 R22 R21,R_0_0603,ovrEngineered:R_0603,http://www.vishay.com/docs/20035/dcrcwe3.pdf,Vishay_Dale,CRCW06030000Z0EA,Digi-Key,541-0.0GCT-ND,0,6
Q1 Q2,BJT_NPN_1.5A_25V,ovrEngineered:SOT-23-3,http://www.mccsemi.com/up_pdf/MMSS8050(SOT-23).pdf,Micro Commercial Co,MMSS8050-H-TP,Digi-Key,MMSS8050-H-TPMSCT-ND,,2
J1,USB_MICROB_RA_LONG,ovrEngineered:UJ2-MIBH-4-SMT,http://www.cui.com/product/resource/digikeypdf/uj2-mibh-4-smt.pdf,CUI,UJ2-MIBH-4-SMT,Digi-Key,102-4006-1-ND,,1
U6,BLUEGIGA_BLE121,ovrEngineered:BLE121,http://media.digikey.com/pdf/Data%20Sheets/BlueGiga%20PDFs/BLE121LR_V1.2.pdf,BlueGiga,BLE121LR-A-M256K,Digi-Key,1446-1039-1-ND,,1
C4,C_0.1uF_10v_0603,ovrEngineered:C_0603,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R71C104KA01-01.pdf,Murata,GRM188R71C104KA01D,Digi-Key,490-1532-1-ND,0.1uF,1
J4,CONN_1.27MM_5X2,ovrEngineered:20021111-00010T4LF,http://portal.fciconnect.com/Comergent//fci/drawing/20021111.pdf,Amphenol,20021111-00010T4LF,Digi-Key,609-3712-ND,,1
U7,LITEON_LTR-329ALS,ovrEngineered:LITEON_LTR-329ALS,http://optoelectronics.liteon.com/upload/download/DS86-2014-0006/S_110_LTR-329ALS-01_DS_V1.pdf,Lite-On,LTR-329ALS-01,Digi-Key,160-2160-1-ND,,1
D1 D2,CREE_CLV1A_FKB,ovrEngineered:CREE_CLV1A_FKB,http://media.digikey.com/pdf/Data%20Sheets/CREE%20Power/CLV1A-FKB_Rev5.pdf,Cree Inc.,CLV1A-FKB-CK1N1G1BB7R4S3,Digi-Key,CLV1A-FKB-CK1N1G1BB7R4S3CT-ND,RGB,2
R2 R3 R4 R5 R6 R7,R_402_1%_0603,ovrEngineered:R_0603,http://www.vishay.com/docs/20035/dcrcwe3.pdf,Vishay_Dale,CRCW0603402RFKEA,Digi-Key,541-402HCT-ND,402,6
SW1,ESWITCH_TL3315NF100Q,ovrEngineered:TL3315NF100Q,http://spec_sheets.e-switch.com/specs/P010336.pdf,E-Switch,TL3315NF100Q,Digi-Key,EG4620CT-ND,,1
U4,ESP32-WROOM,ovrEngineered:ESP32-WROOM,https://espressif.com/sites/default/files/documentation/esp_wroom_32_datasheet_en.pdf,EspressIf,esp-wroom-32,Grid Connect,GC-ESP-WROOM-32,,1
